ID;Tag;Kategória;Štúdium;Autor;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1;Odpoveď 2;Odpoveď 3
29;;Akademický rok;BID;JO;Kedy je začiatok akademického roku?;Kedy začína akademický rok?;;;;Začiatok akademického roku 2022/23 je 1.9.2022;Odpoveď je možná nájsť na linku: https://www.fri.uniza.sk/calendar?year=2022&section=E;
30;;Akademický rok;BID;JO;Kedy je koniec akademického roku?;Kedy končí akademický rok?;;;;Koniec akademického roku 2022/23 je 31.8.2023;Odpoveď je možná nájsť na linku: https://www.fri.uniza.sk/calendar?year=2022&section=E;
19;;Akcie;BID;JO, JK, AP;Aké akcie je možné nájsť na FRI počas roku?;Sú na FRI študentské akcie?;Aké sú možnosti kultúrneho vyžitia študentov?;Aké akcie sa dejú na FRI?;Aké sú voľnočasové aktivity na FRI? ;Ako študent na FRI máte prístup k mnohým študentským akciam ako napríklad Fričkovica, FRI ples, FRI punč a mnoho ďalších.;Akcie ako Fričkovica, FRI ples by vas mohli zaújmať.;
20;;Akcie;BID;JO, AP;Čo je to FRIčkovica?;;;;;Jesenné podujatie kde je občerstvenie a ako aj možnosť sa porozprávať so spolužiakmi a inými zaujmavimi ľudmi;;
21;;Akcie;BID;JO;Čo je to IT Trhovisko?;;;;;Prezentácia firiem ktoré by mali záujem o budúcu spoluprácu so študentami.;;
22;;Akcie;BID;JO, AP;Čo je to beh Jeana de Mijona?;;;;;;;
40;;Akcie;BID;JO, AP;Kedy je deň otvorených dverí?;Kedy sa koná Deň otvorených dverí? ;;;;Ďen otverných dveri v roku 2021/22 bol dňa 17.2.2022, dátum pre rok 2022/23 ešte nebol rozhodnutý.;;
166;;Akcie;;JO, AP;Čo je to FRIFest?;;;;;;;
169;;Akcie;;JO;Má FRI deň otvorených dverí?;;;;;Áno.;;
170;;Akcie;;JO, AP;Čo je to panel story?;;;;;Prezentácia študentských projektov pre verejnosť.;;
171;;Akcie;BID;JK;Ako sa dostanem na letnú školu programovania?;;;;;;;
252;;Akcie;;JK;Chodí sa vrámci fakulty na spoločný výlet?;Je možnosť ísť na spoločný výlet vrámci fakulty?;;;;Áno.;;
389;;Akcie;;AP;Kedy je FriFest?;;;;;;;
390;;Akcie;;AP;Kedy je beh Jeana de Mijona?;;;;;;;
431;;Akcie;;AP;Kedy sa koná FRIčkovica?;;;;;;;
432;;Akcie;;AP;Čo je to FRI ples?;;;;;Ples organizovaný fakultou FRI pre študentov.;;
433;;Akcie;;AP;Kedy sa koná FRI ples?;;;;;;;
